Item_Name,Piece_Count,Raw_Cooked,Rice_Type,Category,Style,Ingredients,Assembly_Notes,Packing_Instructions
Vegetable Roll,10pc,Vegetarian,White Rice,Classic,Style A (Classic),"rice, seaweed, cucumber, carrot, avocado, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (cucumber, carrot, avocado), roll tightly inside-out, and cut into 10 pieces.","5 rows of 2 pieces. Each piece is placed flat on its circular cut-end (like a wheel resting flat on the ground). Top-down view exposes the open cross-section/cut-face, displaying internal ingredients."
Vegetable Roll,10pc,Vegetarian,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, cucumber, carrot, avocado, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (cucumber, carrot, avocado), roll tightly inside-out, and cut into 10 pieces.","5 rows of 2 pieces. Each piece is placed flat on its circular cut-end (like a wheel resting flat on the ground). Top-down view exposes the open cross-section/cut-face, displaying internal ingredients."
California Roll,10pc,Cooked,White Rice,Classic,Style A (Classic),"rice, seaweed, cucumber, crab stick, avocado, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (cucumber, crab stick, avocado), roll tightly inside-out, and cut into 10 pieces.","5 rows of 2 pieces. Each piece is placed flat on its circular cut-end (like a wheel resting flat on the ground). Top-down view exposes the open cross-section/cut-face, displaying internal ingredients."
California Roll,10pc,Cooked,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, cucumber, crab stick, avocado, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (cucumber, crab stick, avocado), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
California Salad Roll,10pc,Cooked,White Rice,Classic,Style A (Classic),"rice, seaweed, cucumber, crab salad, avocado, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (cucumber, crab salad, avocado), roll tightly inside-out, and cut into 10 piece",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
California Salad Roll,10pc,Cooked,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, cucumber, crab salad, avocado, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (cucumber, crab salad, avocado), roll tightly inside-out, and cut into 10 piece",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Cream Cheese Roll Imitation Crab,10pc,Cooked,White Rice,Classic,Style A (Classic),"rice, seaweed, crab stick, cream cheese, cucumber, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (crab stick, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Cream Cheese Roll - Imitation Crab,10pc,Cooked,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, crab stick, cream cheese, cucumber, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (crab stick, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Cream Cheese Roll - Salmon,10pc,Raw,White Rice,Classic,Style A (Classic),"rice, seaweed, salmon, cream cheese, cucumber, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (salmon, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Cream Cheese Roll - Salmon,10pc,Raw,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, salmon, cream cheese, cucumber, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (salmon, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Cream Chess Roll - Tuna,10pc,Raw,White Rice,Classic,Style A (Classic),"rice, seaweed, tuna, cream cheese, cucumber, sesame seed, ginger, wasabi, bran","Spread rice on seaweed (nori), layer inner ingredients (tuna, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Cream Chess Roll - Tuna,10pc,Raw,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, tuna, cream cheese, cucumber, sesame seed, ginger, wasabi, bran","Spread rice on seaweed (nori), layer inner ingredients (tuna, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",
Cream Chess Roll - Shrimp,10pc,Cooked,White Rice,Classic,Style A (Classic),"rice, seaweed, shrimp, cream cheese, cucumber, sesame seed, ginger, wasabi, bran","Spread rice on seaweed (nori), layer inner ingredients (baby shrimp, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",
Cream Chess Roll - Shrimp,10pc,Cooked,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, baby shrimp, cream cheese, cucumber, sesame seed, ginger, wasabi, bran","Spread rice on seaweed (nori), layer inner ingredients (baby shrimp, cream cheese, cucumber), roll tightly inside-out, and cut into 10 pieces.",
Eel Roll,10pc,Cooked,White Rice,Classic,Style A (Classic),"rice, seaweed, grilled eel, cucumber, eel sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (grilled eel, cucumber, eel sauce), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Eel Roll,10pc,Cooked,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, grilled eel, cucumber, eel sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed (nori), layer inner ingredients (grilled eel, cucumber, eel sauce), roll tightly inside-out, and cut into 10 pieces.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Spicy California Roll,10pc,Cooked,White Rice,Classic,Style A (Classic),"rice, seaweed, cucumber, crab stick, avocado, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab stick, avocado), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Spicy California Roll,10pc,Cooked,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, cucumber, crab stick, avocado, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab stick, avocado), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Spicy Roll - Salmon,10pc,Raw,White Rice,Classic,Style A (Classic),"rice, seaweed, cucumber, salmon, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, salmon), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",
Spicy Roll - Salmon,10pc,Raw,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, cucumber, salmon, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, salmon), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
