Item_Name,Category,Style,Ingredients,Assembly_Notes,Packing_Instructions
FDA Parasite Destruction (Wild Fish),Food Safety,Regulatory Reference,"Wild Salmon, Finfish","FDA § 3-402.11 Mandatory Freezing: (1) -4°F (-20°C) or below for 168 hours (7 days); (2) -31°F (-35°C) or below until solid, then -31°F (-35°C) for 15 hours; or (3) -31°F (-35°C) or below until solid, then -4°F (-20°C) for 24 hours.",Store at 32-38°F. Verify supplier freezing certification records before processing.
FDA Parasite Exemption (Tuna & Farmed Fish),Food Safety,Regulatory Reference,"Albacore, Yellowfin, Blackfin, Southern/Northern Bluefin, Bigeye Tuna, Farmed Salmon",Exempt from mandatory freezing. Tuna species (Thunnus genus) are exempt due to low parasite risk. Farmed salmon is exempt if raised in controlled land-based/net-pen operations on formulated feed without live parasites.,Maintain cold chain below 41°F. Ensure written supplier guarantee for farmed finfish.
FDA Temperature Control (TCS Foods),Food Safety,Regulatory Reference,"Raw Fish, Cooked Rice, Crab Stick, Vegetables",FDA § 3-501.16: Perishable items must stay out of the Danger Zone (41-135°F/5-57°C). Maintain cold holding at 41°F or below. Maintain hot holding at 135°F or above.,Monitor temps continuously. Sanitize cutting surfaces and utensils between raw and ready-to-eat tasks.
FDA Sushi Rice Acidification,Food Safety,Regulatory Reference,"Cooked Rice, Rice Vinegar, Sugar, Salt","21 CFR Part 114: Acidify rice to equilibrium pH 4.6 or below. If pH > 4.0, testing must use calibrated digital potentiometric pH meters. Log every batch.",Maintain written formulation and pH testing logs. Prevent spore-forming bacteria (Bacillus cereus) growth.
FDA Cooked Seafood Safety (Shrimp),Food Safety,Regulatory Reference,"Baby Shrimp, Tempura Shrimp",Must be fully cooked to an internal temperature of 145°F (63°C) for at least 15 seconds.,Promptly chill to 41°F after cooking. Store in separate containers from raw fish to avoid cross-contamination.
FDA Cross-Contamination Prevention,Food Safety,Regulatory Reference,"Raw Seafood, Ready-to-Eat Ingredients, Produce","FDA § 3-302.11: Food shall be protected from cross-contamination by separating raw animal foods during storage, preparation, holding, and display from ready-to-eat foods.","Use color-coded cutting boards, dedicated knives, and store raw fish below ready-to-eat items in refrigeration units."
FDA Employee Hygiene & Handwashing,Food Safety,Regulatory Reference,All Food Handlers,"FDA § 2-301.14: Food employees must clean their hands and exposed portions of arms immediately before engaging in food preparation, after touching raw proteins, and after any interruption.",Wear clean single-use gloves when handling ready-to-eat sushi rolls and change gloves whenever contamination occurs.
FDA Cleaning and Sanitizing Food-Contact Surfaces,Food Safety,Regulatory Reference,"Utensils, Cutting Boards, Prep Tables",FDA § 4-501.114: Equipment food-contact surfaces and utensils must be sanitized before use and after any interruption of operations where contamination may have occurred.,"Use approved chemical sanitizers (chlorine, quaternary ammonium) at proper concentration levels verified with test strips."
FDA Time as a Public Health Control (TPHC),Food Safety,Regulatory Reference,"Sushi Rice, Prepared Rolls","FDA § 3-501.19: If time only is used as the public health control for up to 4 hours, food must be marked or otherwise identified to indicate the time that is 4 hours past the point in time when food is removed from temperature control.",Discard any sushi rice or prepared rolls exceeding the 4-hour limit without temperature control.
FDA Allergen Management & Cross-Contact,Food Safety,Regulatory Reference,"Crab Stick (Shellfish), Sesame Seeds, Cream Cheese (Dairy)","Prevent major food allergens (crustacean shellfish, fish, dairy, sesame) from contacting non-allergen items during roll assembly and packing.",Label containers correctly and use separate utensils or clean surfaces when switching between allergen-containing ingredients.
AFC Sushi Rice Preparation & Seasoning Standard,AFC Rice Standard,Standard Operating Procedure,"Short-grain rice, water, rice vinegar (komezu)","Rinse rice thoroughly, cook with precise water ratio, and acidify immediately while warm using vinegar (komezu) to achieve an equilibrium pH of 4.6 or below. AFC sushi standards strictly exclude sugar and salt from the sushi rice seasoning.",Hold at room temperature under proper pH and time controls.
